field_organization_name,field_address_1,field_city,field_state,Zip,field_phone,field_latitude,field_longitude,title,field_school_type,field_type
Trinity Presbyterian School,1700 E Trinity Blvd,Montgomery,AL,36106,(334) 213-2100,32.3537,-86.2342,Trinity Presbyterian School,private,school
Houston Academy,901 Buena Vista Dr,Dothan,AL,36303,(334) 794-4106,31.244,-85.4491,Houston Academy,private,school
South Montgomery County Academy,147 Old School House Road,Grady,AL,36036,(334) 562-3235,31.9929,-86.199,South Montgomery County Academy,private,school
Cahawba Christian Academy,2415 Montevallo Rd,Centreville,AL,35042,(205) 926-4676,32.9769,-87.1207,Cahawba Christian Academy,private,school
Tuscaloosa Academy,420 Rice Valley Rd N,Tuscaloosa,AL,35406,(205) 758-4462,33.2441,-87.5407,Tuscaloosa Academy,private,school
Montgomery Academy,3240 Vaughn Rd,Montgomery,AL,36106,(334) 272-8210,32.351,-86.2599,Montgomery Academy,private,school
Randolph School,1005 Drake Ave SE,Huntsville,AL,35802,(256) 799-6115,34.7063,-86.5581,Randolph School,private,school
The Altamont School,4801 Altamont Road S,Birmingham,AL,35222,(205) 879-2006,33.5135,-86.758,The Altamont School,private,school
Central Christian School,17395 State Highway 104,Robertsdale,AL,36567,(251) 947-7543,30.5463,-87.7263,Central Christian School,private,school
Chambers Academy,15048 Us Highway 431,Lafayette,AL,36862,(334) 864-9852,32.8731,-85.4065,Chambers Academy,private,school
Coosa Valley Academy,163 Park Pl,Harpersville,AL,35078,(205) 672-7326,33.3351,-86.4303,Coosa Valley Academy,private,school
Dale County Christian School,64 Susie St,Ozark,AL,36360,(334) 774-4127,31.4227,-85.5733,Dale County Christian School,private,school
Edgewood Academy,5475 Elmore Road,Elmore,AL,36025,(334) 567-5102,32.5473,-86.2928,Edgewood Academy,private,school
Fort Dale Academy,1100 Gamble St,Greenville,AL,36037,(334) 382-2606,31.8361,-86.6413,Fort Dale Academy,private,school
Glen Iris Baptist School,1137 10th Pl S,Birmingham,AL,35205,(205) 323-1516,33.4933,-86.8117,Glen Iris Baptist School,private,school
Decatur Heritage Christian Academy,3802 Spring Avenue SW,Decatur,AL,35603,(256) 351-4275,34.5365,-86.9982,Decatur Heritage Christian Academy,private,school
The Lakeside School,1020 Lake Dr,Eufaula,AL,36027,(334) 687-5748,31.9182,-85.1361,The Lakeside School,private,school
Lyman Ward Military Academy,174 Ward Circle,Camp Hill,AL,36850,(256) 392-8610,32.8027,-85.6608,Lyman Ward Military Academy,private,school
Meadowview Christian School,1512 Old Orrville Rd,Selma,AL,36701,(334) 872-8448,32.4048,-87.0619,Meadowview Christian School,private,school
Pickens Academy,225 Ray Bass Rd.,Carrollton,AL,35447,(205) 367-8144,33.253,-88.09,Pickens Academy,private,school
Southern Academy,407 College St,Greensboro,AL,36744,(334) 624-8111,32.6991,-87.584,Southern Academy,private,school
Springwood School,1814 Cherry Drive,Lanett,AL,36863,(334) 644-2191,32.8741,-85.2085,Springwood School,private,school
Trinity Christian Academy,1500 Airport Rd.,Oxford,AL,36203,(256) 831-3333,33.59,-85.869,Trinity Christian Academy,private,school
Victory Baptist School,5480 Main St,Millbrook,AL,36054,(334) 285-5082,32.5088,-86.3756,Victory Baptist School,private,school
Autauga Academy,497 Golson Rd,Prattville,AL,36067,(334) 365-4343,32.4721,-86.5419,Autauga Academy,private,school
Alabama Christian Academy,4700 Wares Ferry Rd,Montgomery,AL,36109,(334) 277-1985,32.3893,-86.216,Alabama Christian Academy,private,school
Wesleyan Christian Academy,21276 Us Highway 45,Citronelle,AL,36522,(251) 866-7501,31.1349,-88.2504,Wesleyan Christian Academy,private,school
Emmanuel Christian School,178 Earline Rd,Dothan,AL,36305,(334) 792-0935,31.2007,-85.4385,Emmanuel Christian School,private,school
Macon East Academy,15396 Vaughn Rd,Cecil,AL,36013,(334) 277-6566,32.3024,-86.0125,Macon East Academy,private,school
Lee-Scott Academy,1601 Academy Dr,Auburn,AL,36830,(334) 821-2430,32.6378,-85.4503,Lee-Scott Academy,private,school
Shades Mountain Christian School,2290 Old Tyler Rd,Hoover,AL,35226,(205) 978-6001,33.4142,-86.8329,Shades Mountain Christian School,private,school
Ephesus Academy,829 McMillon Ave SW,Birmingham,AL,35211,(205) 786-2194,33.4948,-86.8445,Ephesus Academy,private,school
Big Cove Christian Academy,6354 Highway 431 S,Owens Cross Roads,AL,35763,(256) 518-9642,34.6681,-86.4904,Big Cove Christian Academy,private,school
Floral Crest School,1228 County Road 89,Bryant,AL,35958,(256) 597-2582,34.8765,-85.5881,Floral Crest School,private,school
Catholic Schools of Fairbanks,615 Monroe St,Fairbanks,AK,99701,(907) 452-2044,64.8516,-147.716,Catholic Schools of Fairbanks,private,school
Amazing Grace Academy,2238 S. Inner Springer Lp,Palmer,AK,99645,(907) 745-2691,61.5726,-149.145,Amazing Grace Academy,private,school
Dillingham Adventist School,446 Windmill Hill Rd.,Dillingham,AK,99576,(907) 842-2496,59.0433,-158.491,Dillingham Adventist School,private,school
Lourdes Catholic School,555 E Patagonia Hwy,Nogales,AZ,85621,(520) 287-5659,31.3569,-110.919,Lourdes Catholic School,private,school
Kino Learning Center,6625 N 1st Ave,Tucson,AZ,85718,(520) 297-7278,32.3269,-110.962,Kino Learning Center,private,school
Xavier College Preparatory,4710 N. 5th St,Phoenix,AZ,85012,(602) 277-3772,33.5051,-112.068,Xavier College Preparatory,private,school
St Marys High School,2525 N 3rd St,Phoenix,AZ,85004,(602) 251-2511,33.4753,-112.068,St Marys High School,private,school
Brophy College Preparatory,4701 N Central Ave,Phoenix,AZ,85012,(602) 264-5291,33.5047,-112.071,Brophy College Preparatory,private,school
Bourgade Catholic High School,4602 N 31st Ave,Phoenix,AZ,85017,(602) 973-4000,33.5047,-112.128,Bourgade Catholic High School,private,school
Seton Catholic Preparatory High School,1150 N Dobson Rd,Chandler,AZ,85224,(480) 963-1900,33.3233,-111.879,Seton Catholic Preparatory High School,private,school
Paradise Valley Christian Preparatory,11875 N 24th St,Phoenix,AZ,85028,(602) 992-8140,33.5954,-112.029,Paradise Valley Christian Preparatory,private,school
Phoenix Christian Preparatory School,1751 W Indian School Rd,Phoenix,AZ,85015,(602) 265-4707,33.4941,-112.097,Phoenix Christian Preparatory School,private,school
East Fork Lutheran Grade School and High School,4325 Fort Apache Rd,Whiteriver,AZ,85941,(928) 338-4455,33.7975,-109.933,East Fork Lutheran Grade School and High School,private,school
The Orme School,Hc 63 Box 3040,Mayer,AZ,86333,(928) 632-7601,34.4321,-112.071,The Orme School,private,school
Green Fields School,6000 N Camino De La Tierra,Tucson,AZ,85741,(520) 297-2288,32.3169,-111.035,Green Fields School,private,school
Phoenix Country Day School,3901 E Stanford Dr,Paradise Valley,AZ,85253,(602) 955-8200,33.5157,-111.998,Phoenix Country Day School,private,school
Verde Valley School,3511 Verde Valley School Rd,Sedona,AZ,86351,(928) 284-2272,34.8062,-111.804,Verde Valley School,private,school
Gompers Private School,6601 N 27th Ave,Phoenix,AZ,85017,(602) 283-3929,33.5336,-112.116,Gompers Private School,private,school
Oak Creek Ranch School,1165 E Willow Point Rd,Cornville,AZ,86325,(928) 634-5571,34.7513,-111.891,Oak Creek Ranch School,private,school
Scottsdale Christian Academy,14400 N Tatum Blvd,Phoenix,AZ,85032,(602) 992-5100,33.6174,-111.979,Scottsdale Christian Academy,private,school
Tri-City Christian Academy,2211 W Germann Rd,Chandler,AZ,85286,(480) 245-7902,33.2744,-111.88,Tri-City Christian Academy,private,school
Immanuel Mission School,2000 So. Rd 351,Teec Nos Pos,AZ,86514,(830) 200-0351,36.8244,-109.379,Immanuel Mission School,private,school
St Michaels Assoc for Sp Ed,Mustang Road,St. Michaels,AZ,86511,(928) 871-2810,35.6762,-109.075,St Michaels Assoc for Sp Ed,private,school
Holbrook Seventh-Day Adventist Indian School,2001 McLaws Rd.,Holbrook,AZ,86025,(928) 524-6845,34.8831,-110.192,Holbrook Seventh-Day Adventist Indian School,private,school
Subiaco Academy,405 N Subiaco Ave,Subiaco,AR,72865,(479) 934-1260,35.2988,-93.6332,Subiaco Academy,private,school
Catholic High School for Boys,6300 Father Tribou St,Little Rock,AR,72205,(501) 664-3939,34.7569,-92.3443,Catholic High School for Boys,private,school
Mt St Mary Academy,3224 Kavanaugh Blvd,Little Rock,AR,72205,(501) 664-8006,34.7608,-92.3299,Mt St Mary Academy,private,school
Riverview Baptist Christian School,123 Riverview Rd,Morrilton,AR,72110,(501) 354-0327,35.1173,-92.7852,Riverview Baptist Christian School,private,school
Pulaski Academy,12701 Hinson Rd,Little Rock,AR,72212,(501) 604-1915,34.7716,-92.4142,Pulaski Academy,private,school
Calvary Christian School,1611 N Washington St,Forrest City,AR,72335,(870) 633-5333,35.0248,-90.7885,Calvary Christian School,private,school
Crowley'S Ridge Academy,606 Academy Dr,Paragould,AR,72450,(870) 236-6908,36.058,-90.5589,Crowley'S Ridge Academy,private,school
Harding Academy,1529 E Park Ave,Searcy,AR,72143,(501) 279-7200,35.2444,-91.7131,Harding Academy,private,school
Marvell Academy,645 Hwy 243 North,Marvell,AR,72366,(870) 829-2931,34.5701,-90.9123,Marvell Academy,private,school
The Childrens House Montessori School,4023 Lee Ave,Little Rock,AR,72205,(501) 664-5993,34.755,-92.3181,The Childrens House Montessori School,private,school
Little Rock Adventist Academy,8708 N Rodney Parham Rd,Little Rock,AR,72205,(501) 225-6183,34.7578,-92.371,Little Rock Adventist Academy,private,school
Ozark Adventist Academy,20997 Dawn Hill East Rd,Gentry,AR,72734,(479) 736-2221,36.2409,-94.5014,Ozark Adventist Academy,private,school
Alverno High School,200 N Michillinda Ave,Sierra Madre,CA,91024,(626) 355-3463,34.1655,-118.067,Alverno High School,private,school
St Monica Catholic High School,1030 Lincoln Blvd,Santa Monica,CA,90403,(310) 394-3701,34.024,-118.497,St Monica Catholic High School,private,school
Pomona Catholic High School,533 W Holt Ave,Pomona,CA,91768,(909) 623-5297,34.0628,-117.758,Pomona Catholic High School,private,school
St Genevieve High School,13967 Roscoe Blvd.,Panorama City,CA,91402,(818) 894-6417,34.2219,-118.438,St Genevieve High School,private,school
St Joseph High School,4120 S Bradley Rd,Santa Maria,CA,93455,(805) 937-2038,34.8821,-120.416,St Joseph High School,private,school
St Paul High School,9635 Greenleaf Ave,Santa Fe Springs,CA,90670,(562) 698-6246,33.9512,-118.054,St Paul High School,private,school
Notre Dame Academy Girls High School,2851 Overland Ave,Los Angeles,CA,90064,(310) 839-5289,34.0345,-118.419,Notre Dame Academy Girls High School,private,school
Sacred Heart High School,2111 Griffin Ave,Los Angeles,CA,90031,(323) 225-2209,34.0698,-118.212,Sacred Heart High School,private,school
Crespi Carmelite High School,5031 Alonzo Ave,Encino,CA,91316,(818) 345-1672,34.1618,-118.522,Crespi Carmelite High School,private,school
St Anthony High School,620 Olive Ave,Long Beach,CA,90802,(562) 435-4496,33.7744,-118.182,St Anthony High School,private,school
Holy Family High School College Preparatory,400 E Lomita Ave,Glendale,CA,91205,(818) 241-3178,34.1404,-118.252,Holy Family High School College Preparatory,private,school
Bellarmine-Jefferson High School,465 E Olive Ave,Burbank,CA,91501,(808) 972-1400,34.1839,-118.306,Bellarmine-Jefferson High School,private,school
St John Bosco High School,13640 Bellflower Blvd,Bellflower,CA,90706,(562) 920-1734,33.9065,-118.123,St John Bosco High School,private,school
St Mary'S Academy,701 Grace Ave,Inglewood,CA,90301,(310) 674-8470,33.9691,-118.345,St Mary'S Academy,private,school
St Francis High School,200 Foothill Blvd,La Canada Flintridge,CA,91011,(818) 790-0325,34.1951,-118.182,St Francis High School,private,school
St Lucys Priory High School,655 W Sierra Madre Ave,Glendora,CA,91741,(626) 335-3322,34.1484,-117.877,St Lucys Priory High School,private,school
La Reina High School,106 W Janss Rd,Thousand Oaks,CA,91360,(805) 495-6494,34.2025,-118.877,La Reina High School,private,school
Don Bosco Technical Institute,1151 San Gabriel Blvd,Rosemead,CA,91770,(626) 940-2000,34.0407,-118.087,Don Bosco Technical Institute,private,school
Mayfield Senior School,500 Bellefontaine St,Pasadena,CA,91105,(626) 799-9121,34.1305,-118.162,Mayfield Senior School,private,school
St Joseph High School,5825 Woodruff Ave,Lakewood,CA,90713,(562) 925-5073,33.8615,-118.118,St Joseph High School,private,school
Louisville High School,22300 Mulholland Dr,Woodland Hills,CA,91364,(818) 346-8812,34.1489,-118.61,Louisville High School,private,school
St Bonaventure High School,3167 Telegraph Rd,Ventura,CA,93003,(805) 648-6836,34.2731,-119.254,St Bonaventure High School,private,school
St Bernard High School,9100 Falmouth Ave,Playa Del Rey,CA,90293,(310) 823-4651,33.9535,-118.433,St Bernard High School,private,school
Bishop Amat High School,14301 Fairgrove Ave,La Puente,CA,91746,(626) 962-2495,34.0538,-117.965,Bishop Amat High School,private,school
Chaminade College Preparatory High School,7500 Chaminade Ave,West Hills,CA,91304,(818) 347-8300,34.2077,-118.636,Chaminade College Preparatory High School,private,school
Notre Dame High School,13645 Riverside Dr,Sherman Oaks,CA,91423,(818) 933-3600,34.1586,-118.429,Notre Dame High School,private,school
La Salle High School,3880 E Sierra Madre Blvd,Pasadena,CA,91107,(626) 696-4300,34.161,-118.07,La Salle High School,private,school
Cantwell Sacred Heart of Mary,329 N Garfield Ave,Montebello,CA,90640,(323) 887-2066,34.0172,-118.13,Cantwell Sacred Heart of Mary,private,school
Providence High School,511 S Buena Vista St,Burbank,CA,91505,(818) 846-8141,34.1544,-118.327,Providence High School,private,school
Villanova Preparatory School,12096 N Ventura Ave,Ojai,CA,93023,(805) 646-1464,34.4294,-119.264,Villanova Preparatory School,private,school
St Piusx-St.matthias Academy,7851 East Gardenstreet,Downey,CA,90242,(562) 861-2271,33.9192,-118.16,St Piusx-St.matthias Academy,private,school
Junipero Serra High School,14830 Van Ness Ave,Gardena,CA,90249,(310) 324-6675,33.8959,-118.317,Junipero Serra High School,private,school
Loyola High School,1901 Venice Blvd,Los Angeles,CA,90006,(213) 381-5121,34.045,-118.296,Loyola High School,private,school
San Gabriel Mission High School,254 S Santa Anita St,San Gabriel,CA,91776,(626) 282-3181,34.0978,-118.107,San Gabriel Mission High School,private,school
Flintridge Sacred Heart Academy,440 Saint Katherine Dr,La Canada Flintridge,CA,91011,(626) 685-8300,34.1804,-118.183,Flintridge Sacred Heart Academy,private,school
Marymount High School Los Angeles,10643 W Sunset Blvd,Los Angeles,CA,90077,(310) 472-1205,34.0754,-118.445,Marymount High School Los Angeles,private,school
Verbum Dei High School,11100 S Central Ave,Los Angeles,CA,90059,(323) 564-6651,33.9346,-118.253,Verbum Dei High School,private,school
Chaminade College Preparetory,10210 Oakdale Ave,Chatsworth,CA,91311,(818) 360-4211,34.2548,-118.565,Chaminade College Preparetory,private,school
Woodside Priory School,302 Portola Rd,Portola Valley,CA,94028,(650) 851-8227,37.3759,-122.213,Woodside Priory School,private,school
Immaculate Conception Academy,3625 24th St,San Francisco,CA,94110,(415) 824-2052,37.7518,-122.423,Immaculate Conception Academy,private,school
Archbishop Riordan High School,175 Phelan Ave,San Francisco,CA,94112,(415) 586-8200,37.7276,-122.453,Archbishop Riordan High School,private,school
Sacred Heart Cathedral Preparatory,1055 Ellis St,San Francisco,CA,94109,(415) 775-6626,37.7835,-122.423,Sacred Heart Cathedral Preparatory,private,school
St Ignatius College Preparatory,2001 37th Ave,San Francisco,CA,94116,(415) 731-7500,37.7486,-122.496,St Ignatius College Preparatory,private,school
Junipero Serra High School,451 W 20th Ave,San Mateo,CA,94403,(650) 345-8207,37.5455,-122.317,Junipero Serra High School,private,school
Marin Catholic High School,675 Sir Francis Drake Blvd,Kentfield,CA,94904,(415) 464-3800,37.9508,-122.537,Marin Catholic High School,private,school
Mercy High School,2750 Adeline Dr,Burlingame,CA,94010,(650) 762-1101,37.5827,-122.383,Mercy High School,private,school
San Joaquin Memorial High School,1406 N Fresno St,Fresno,CA,93703,(559) 268-9251,36.7636,-119.78,San Joaquin Memorial High School,private,school
Mission College Preparatory Catholic High School,682 Palm St,San Luis Obispo,CA,93401,(805) 543-2131,35.2807,-120.667,Mission College Preparatory Catholic High School,private,school
Notre Dame High School,455 Palma Dr,Salinas,CA,93901,(831) 751-1850,36.6643,-121.669,Notre Dame High School,private,school
Palma School,919 Iverson St,Salinas,CA,93901,(831) 422-6391,36.6645,-121.665,Palma School,private,school
St Elizabeth High School,1530 34th Ave,Oakland,CA,94601,(510) 532-8947,37.7785,-122.222,St Elizabeth High School,private,school
Salesian High School,2851 Salesian Ave,Richmond,CA,94804,(510) 234-4433,37.9529,-122.339,Salesian High School,private,school
Holy Names High School,4660 Harbord Dr,Oakland,CA,94618,(510) 450-1110,37.8394,-122.231,Holy Names High School,private,school
Bishop O Dowd High School,9500 Stearns Ave,Oakland,CA,94605,(510) 577-9100,37.7535,-122.156,Bishop O Dowd High School,private,school
Moreau Catholic High School,27170 Mission Blvd,Hayward,CA,94544,(510) 881-4300,37.6444,-122.061,Moreau Catholic High School,private,school
De La Salle High School,1130 Winton Dr,Concord,CA,94518,(925) 288-8100,37.9347,-122.03,De La Salle High School,private,school
Carondelet High School,1133 Winton Dr,Concord,CA,94518,(925) 686-5353,37.9332,-122.033,Carondelet High School,private,school
Rosary Academy,1340 N Acacia Ave,Fullerton,CA,92831,(714) 879-6302,33.8845,-117.897,Rosary Academy,private,school
Cornelia Connelly School,2323 W Broadway,Anaheim,CA,92804,(714) 776-1717,33.8298,-117.964,Cornelia Connelly School,private,school
Mater Dei High School,1202 W Edinger Ave,Santa Ana,CA,92707,(714) 850-9500,33.7254,-117.884,Mater Dei High School,private,school
Jesuit High School,1200 Jacob Ln,Carmichael,CA,95608,(916) 482-6060,38.5861,-121.352,Jesuit High School,private,school
St Francis Catholic High School,5900 Elvas Ave,Sacramento,CA,95819,(916) 452-3461,38.5598,-121.431,St Francis Catholic High School,private,school
Mercy High School,233 Riverside Way,Red Bluff,CA,96080,(530) 527-8313,40.1741,-122.23,Mercy High School,private,school
Christian Brothers High School,4315 Martin Luther King Jr Blvd,Sacramento,CA,95820,(916) 733-3600,38.5358,-121.462,Christian Brothers High School,private,school
St Patrick-St Vincent High School,1500 Benicia Rd,Vallejo,CA,94591,(707) 644-4425,38.0864,-122.202,St Patrick-St Vincent High School,private,school
Aquinas High School,2772 Sterling Ave,San Bernardino,CA,92404,(909) 886-4659,34.1433,-117.245,Aquinas High School,private,school
St Augustine High School,3266 Nutmeg St,San Diego,CA,92104,(619) 282-2184,32.7347,-117.124,St Augustine High School,private,school
Vincent Memorial Catholic High School,525 Sheridan St,Calexico,CA,92231,(760) 357-3461,32.6777,-115.506,Vincent Memorial Catholic High School,private,school
Academy of Our Lady of Peace,4860 Oregon St,San Diego,CA,92116,(619) 297-2266,32.7653,-117.136,Academy of Our Lady of Peace,private,school
Justin-Siena,4026 Maher St,Napa,CA,94558,(707) 255-0950,38.3306,-122.322,Justin-Siena,private,school
St Bernards Academy,222 Dollison St.,Eureka,CA,95501,(707) 443-2735,40.7836,-124.168,St Bernards Academy,private,school
Archbishop Hanna High School,17000 Arnold Dr,Sonoma,CA,95476,(707) 933-2560,38.3202,-122.508,Archbishop Hanna High School,private,school
Cardinal Newman High School,50 Ursuline Rd,Santa Rosa,CA,95403,(707) 546-6470,38.4919,-122.74,Cardinal Newman High School,private,school
St Vincent De Paul High School,849 Keokuk St,Petaluma,CA,94952,(707) 763-1032,38.2436,-122.651,St Vincent De Paul High School,private,school
Central Catholic High School,200 S Carpenter Rd,Modesto,CA,95351,(209) 524-9611,37.6359,-121.029,Central Catholic High School,private,school
St Mary'S High School,5648 N. El Dorado St.,Stockton,CA,95207,(209) 957-3340,38.0045,-121.304,St Mary'S High School,private,school
Eldorado Emerson Private School,4100 E Walnut Ave,Orange,CA,92869,(714) 633-4774,33.7941,-117.809,Eldorado Emerson Private School,private,school
Hebrew Academy,14401 Willow Ln,Huntington Beach,CA,92647,(714) 898-0051,33.7528,-118.02,Hebrew Academy,private,school
Agbu Manoogian-Demirdjian School,6844 Oakdale Ave,Canoga Park,CA,91306,(818) 883-2428,34.1948,-118.566,Agbu Manoogian-Demirdjian School,private,school
Switzer Learning Center,2201 Amapola Ct,Torrance,CA,90501,(310) 328-3611,33.8448,-118.322,Switzer Learning Center,private,school
Bethel Apostolic Academy,1418 W Columbus St,Bakersfield,CA,93301,(661) 323-2851,35.3989,-119.017,Bethel Apostolic Academy,private,school
Mirman School,16180 Mulholland Dr,Los Angeles,CA,90049,(310) 476-2868,34.1297,-118.485,Mirman School,private,school
Patten Academy of Christian Education,2433 Coolidge Ave.,Oakland,CA,94601,(510) 533-3121,37.7861,-122.219,Patten Academy of Christian Education,private,school
Riverside Christian Schools,8775 Magnolia Ave,Riverside,CA,92503,(951) 687-0077,33.9289,-117.434,Riverside Christian Schools,private,school
Westview School,12101 W Washington Blvd,Los Angeles,CA,90066,(818) 478-5544,33.9979,-118.425,Westview School,private,school
Dubnoff Center for Child Development,15314 Rayen St,North Hills,CA,91343,(818) 893-4750,34.2314,-118.466,Dubnoff Center for Child Development,private,school
Mardan School,1 Osborn St,Irvine,CA,92604,(949) 733-1500,33.6747,-117.791,Mardan School,private,school
Maywood Christian School,3759 E 57th St,Maywood,CA,90270,(323) 585-3167,33.9907,-118.196,Maywood Christian School,private,school
Southwestern Academy,2800 Monterey Rd,San Marino,CA,91108,(626) 799-5010,34.1151,-118.132,Southwestern Academy,private,school
Armenian Mesrobian School,8420 Beverly Rd,Pico Rivera,CA,90660,(562) 699-2057,34.0109,-118.09,Armenian Mesrobian School,private,school
Lutheran High School,3960 Fruit St,La Verne,CA,91750,(909) 593-4494,34.1153,-117.76,Lutheran High School,private,school
Lutheran High School - Orange County,2222 N Santiago Blvd,Orange,CA,92867,(714) 998-5151,33.8253,-117.83,Lutheran High School - Orange County,private,school
York School,9501 York Rd,Monterey,CA,93940,(831) 372-7338,36.5751,-121.805,York School,private,school
The Thacher School,5025 Thacher Rd,Ojai,CA,93023,(805) 640-3201,34.4656,-119.179,The Thacher School,private,school
Besant Hill School of Happy Valley,8585 Ojai-santa Paula Rd.,Ojai,CA,93023,(805) 646-4343,34.4398,-119.181,Besant Hill School of Happy Valley,private,school
Stevenson School - Pebble Beach Campus,3152 Forest Lake Rd,Pebble Beach,CA,93953,(831) 625-8300,36.5823,-121.951,Stevenson School - Pebble Beach Campus,private,school
Sacramento Country Day School,2636 Latham Dr,Sacramento,CA,95864,(916) 481-8811,38.5692,-121.4,Sacramento Country Day School,private,school
Concordia Jr/Sr High School,13570 Eldridge Ave,Sylmar,CA,91342,(818) 362-5861,34.3191,-118.425,Concordia Jr/Sr High School,private,school
Cate School,1960 Cate Mesa Rd,Carpinteria,CA,93013,(805) 684-4127,34.4055,-119.477,Cate School,private,school
Army & Navy Academy,2605 Carlsbad Blvd,Carlsbad,CA,92008,(760) 547-5199,33.1622,-117.354,Army & Navy Academy,private,school
Wildwood School K-12,11811 W Olympic Blvd,Los Angeles,CA,90064,(310) 478-7189,34.0335,-118.451,Wildwood School K-12,private,school
Le Lycee Francais De Los Angeles,3261 Overland Ave,Los Angeles,CA,90034,(310) 836-3464,34.0275,-118.415,Le Lycee Francais De Los Angeles,private,school
Berean Christian High School,245 El Divisadero Ave,Walnut Creek,CA,94598,(925) 945-6464,37.9134,-122.032,Berean Christian High School,private,school
Brentwood School,100 S Barrington Pl,Los Angeles,CA,90049,(310) 476-9633,34.0667,-118.469,Brentwood School,private,school
Victor Valley Christian Schools,15260 Nisqualli Rd,Victorville,CA,92395,(760) 241-8827,34.4866,-117.331,Victor Valley Christian Schools,private,school
Santa Cruz Montessori School,6230 Soquel Dr,Aptos,CA,95003,(831) 476-1646,36.9893,-121.932,Santa Cruz Montessori School,private,school
Viewpoint School,23620 Mulholland Hwy,Calabasas,CA,91302,(818) 591-6580,34.1356,-118.643,Viewpoint School,private,school
Valley Torah High School,12517 Chandler Blvd,Valley Village,CA,91607,(818) 505-7999,34.1691,-118.406,Valley Torah High School,private,school
Ojai Valley School,723 El Paseo Rd,Ojai,CA,93023,(805) 646-1423,34.444,-119.257,Ojai Valley School,private,school
Palm Valley School,35525 Da Vall Dr,Rancho Mirage,CA,92270,(760) 328-0861,33.7915,-116.443,Palm Valley School,private,school
El Sobrante Christian School,5100 Argyle Rd,El Sobrante,CA,94803,(510) 223-2242,37.9806,-122.296,El Sobrante Christian School,private,school
Fremont Christian School,4760 Thornton Ave,Fremont,CA,94536,(510) 744-2267,37.5504,-122.018,Fremont Christian School,private,school
Sacramento Waldorf School,3750 Bannister Rd,Fair Oaks,CA,95628,(916) 961-3900,38.631,-121.287,Sacramento Waldorf School,private,school
Calvin Christian School,2000 N Broadway,Escondido,CA,92026,(760) 489-4335,33.1544,-117.091,Calvin Christian School,private,school
Ripon Christian Schools,435 Maple Ave,Ripon,CA,95366,(209) 599-2155,37.7429,-121.132,Ripon Christian Schools,private,school
