field_organization_name,field_address_1,field_city,field_state,Zip,field_phone,field_latitude,field_longitude,title,field_school_type,field_type
Cambridge Prep Academy,2658 SW Main Blvd,Lake City,FL,32025,(386) 243-8285,30.1524,-82.6442,Cambridge Prep Academy,private,school
Christ Children Academy,2900 NW 183rd St,Miami Gardens,FL,33056,(305) 474-3061,25.94,-80.2499,Christ Children Academy,private,school
Christian Life Academy,1244 W. Jefferson St,Brooksville,FL,34601,(352) 428-4397,28.5532,-82.4129,Christian Life Academy,private,school
Chrysalis School at Read America,1173 Spring Centre South Blvd Ste B,Altamonte Springs,FL,32714,(321) 422-4171,28.6863,-81.3928,Chrysalis School at Read America,private,school
Faith Christian Academy,13050 Highway 89,Jay,FL,32565,(850) 675-0227,30.9125,-87.167,Faith Christian Academy,private,school
Connecting Generations and Nations Academy,4635 N Us Hwy 1,Palm Shores,FL,32935,(321) 255-9831,28.1836,-80.6517,Connecting Generations and Nations Academy,private,school
Crossroads Christian School Arlington Campus,6429 Atlantic Blvd.,Jacksonville,FL,32211,(904) 254-6428,30.3131,-81.5934,Crossroads Christian School Arlington Campus,private,school
De Lasalle Academy of Fort Myers,6401 Techster Blvd,Fort Myers,FL,33966,(239) 245-8212,26.5502,-81.848,De Lasalle Academy of Fort Myers,private,school
Ebenezer Christian School,1013 N Redland Rd,Florida City,FL,33034,(305) 394-9494,25.4578,-80.4932,Ebenezer Christian School,private,school
Edgehop Christian Academy,3042 Suite a South Ridgewood Ave,Edgewater,FL,32141,(386) 585-0588,28.9469,-80.8843,Edgehop Christian Academy,private,school
Educative Center El Redentor',4751 S Golden Rd,Orlando,FL,32822,(407) 730-5939,28.4774,-81.2842,Educative Center El Redentor',private,school
Eunice Christian School,3636 Hemlock St,Jacksonville,FL,32218,(904) 351-6610,30.4597,-81.7086,Eunice Christian School,private,school
Faith Christian Academy,905 W Terrace Dr,Plant City,FL,33563,(813) 473-2090,28.0394,-82.1326,Faith Christian Academy,private,school
First Assembly Christian Academydaycare,201 N 11th Ave,Arcadia,FL,34266,(863) 494-0616,27.2129,-81.8472,First Assembly Christian Academydaycare,private,school
First Coast Academy,2725 College St,Jacksonville,FL,32205,(904) 381-1935,30.3144,-81.6966,First Coast Academy,private,school
Gap Christian Academy,183 S Lake Ave,Pahokee,FL,33476,(561) 924-0111,26.8224,-80.6658,Gap Christian Academy,private,school
Genesis Christian Academy,4526 N Access Rd,Englewood,FL,34224,(941) 276-2850,26.9334,-82.2594,Genesis Christian Academy,private,school
Grace and Glory Christian School,929 Main St,Chipley,FL,32428,(850) 638-3700,30.7763,-85.5378,Grace and Glory Christian School,private,school
Grace Community School of Cape Coral,871 Miramar St,Cape Coral,FL,33904,(239) 458-1644,26.5611,-81.9548,Grace Community School of Cape Coral,private,school
Growing Minds Center,106 Trade Cir W Ste a,Port St. Joe,FL,32456,(850) 229-2757,29.8333,-85.2916,Growing Minds Center,private,school
Huntington Learning Center- Tampa,13911 N Dale Mabry Hwy Ste 101,Tampa,FL,33618,(813) 908-1000,28.0742,-82.5059,Huntington Learning Center- Tampa,private,school
Inspirations Academy,757 SE 17th St,Fort Lauderdale,FL,33316,(954) 906-9612,26.1004,-80.1349,Inspirations Academy,private,school
Kingdom Christian Academy Precious Childr,724 S Magnolia Ave,Ocala,FL,34471,(352) 438-5464,29.1806,-82.1373,Kingdom Christian Academy Precious Childr,private,school
Kingdom Christian School,2563 Remington Blvd,Kissimmee,FL,34744,(407) 371-4075,28.2855,-81.3365,Kingdom Christian School,private,school
Kingdom Preparatory Academy,777-b N Highway 27,Clermont,FL,34711,(321) 442-4234,28.5725,-81.7463,Kingdom Preparatory Academy,private,school
La Amistad Learning Center,1650 N Park Ave,Maitland,FL,32751,(407) 647-3054,28.6131,-81.3642,La Amistad Learning Center,private,school
Lifeskills Outreach Learning and Supports,12443 Joda Ln E 1,Jacksonville,FL,32258,(904) 705-8438,30.1454,-81.5823,Lifeskills Outreach Learning and Supports,private,school
Marketplace Mission Learning Center,320 N Barfield Dr,Marco Island,FL,34145,(239) 682-4291,25.946,-81.7031,Marketplace Mission Learning Center,private,school
New Life Preparatory Academy,2111 NW 2nd St,Pompano Beach,FL,33069,(954) 440-8333,26.2336,-80.1516,New Life Preparatory Academy,private,school
Next Generation,1012 S Washington St,Perry,FL,32348,(850) 584-3334,30.1106,-83.5807,Next Generation,private,school
North Dade Christian School,1956 NW 183 St,Miami Gardens,FL,33056,(305) 769-0455,25.9409,-80.2344,North Dade Christian School,private,school
Ohana Institute,PO Box 611487,Rosemary Beach,FL,32461,(850) 231-1140,30.2796,-86.016,Ohana Institute,private,school
Revival Fire Christian Academy,525 S. Ronald Reagan Blvd. Ste. 113,Longwood,FL,32750,(321) 972-8878,28.6918,-81.3459,Revival Fire Christian Academy,private,school
Rhema Word Christian Academy,950 S Cypress Rd,Pompano Beach,FL,33060,(954) 781-8680,26.2171,-80.1226,Rhema Word Christian Academy,private,school
Score at the Top Coral Springs Llc,6250 Coral Ridge Dr Ste 190,Coral Springs,FL,33076,(954) 510-0600,26.3069,-80.2815,Score at the Top Coral Springs Llc,private,school
Southwest Georgia Institute of Education,107 North Mock Bldg. G,Albany,GA,31705,(229) 903-9747,31.5755,-84.0952,Southwest Georgia Institute of Education,private,school
Stepping Stones School,17633 Gunn Hwy Ste 115,Odessa,FL,33556,(813) 973-0619,28.1274,-82.5746,Stepping Stones School,private,school
Tdr Learning Academy,3057 Curry Ford Rd Ste 1,Orlando,FL,32806,(407) 694-8595,28.525,-81.345,Tdr Learning Academy,private,school
The Arc Jacksonville Academy 2 - Oct,"1 Unf Drive, Building 57, Room 2800",Jacksonville,FL,32224,(904) 620-3892,30.2693,-81.5087,The Arc Jacksonville Academy 2 - Oct,private,school
The Movement School,11000 110th Ave,Largo,FL,33778,(727) 709-6186,27.872,-82.7917,The Movement School,private,school
The Preparatory School at National Deaf,19650 Us Highway 441,Mount Dora,FL,32757,(352) 735-9500,28.8176,-81.6334,The Preparatory School at National Deaf,private,school
The Science and Math Institute,2669 Kimberly Forest Dr E,Jacksonville,FL,32246,(904) 573-0883,30.2999,-81.5144,The Science and Math Institute,private,school
The Word Center Christian Academy,2120 S. Ridgewood Ave #8-9,Edgewater,FL,32141,(386) 403-1233,28.9664,-80.8932,The Word Center Christian Academy,private,school
The Word in Season Christian School for Exc,407 N.e. Hatley St.,Jasper,FL,32052,(386) 792-2208,30.5176,-82.9425,The Word in Season Christian School for Exc,private,school
United Brethren in Christ Academy,560 Flomich St,Holly Hill,FL,32117,(386) 453-6626,29.2526,-81.0555,United Brethren in Christ Academy,private,school
Village View Christian Academy,8585 SE 147th Pl,Summerfield,FL,34491,(352) 693-5941,29.0095,-82.0107,Village View Christian Academy,private,school
Vision Christian Academy,18680 NE 75th St County Road 335,Williston,FL,32696,(352) 528-6606,29.4402,-82.4628,Vision Christian Academy,private,school
Williston Central Christian Academy,225 SE 4th St,Williston,FL,32696,(352) 529-0900,29.3853,-82.4428,Williston Central Christian Academy,private,school
World Mission of Jesus Christ Christian Academy,13850 NW 26th Ave,Opa Locka,FL,33054,(786) 488-7951,25.9004,-80.2428,World Mission of Jesus Christ Christian Academy,private,school
Al-Falah Academy,4805 Lawrenceville Hwy NW Ste 220,Lilburn,GA,30047,(678) 380-0201,33.8951,-84.1403,Al-Falah Academy,private,school
Braselton Christian Academy,401 Zion Church Rd,Braselton,GA,30517,(706) 824-9943,34.1187,-83.7563,Braselton Christian Academy,private,school
Bright Futures Academy,1300 Joseph E Boone Blvd NW,Atlanta,GA,30314,(404) 564-7751,33.7622,-84.4304,Bright Futures Academy,private,school
Cedar Christian School,625 West Ave,Cedartown,GA,30125,(770) 748-0077,34.0113,-85.2707,Cedar Christian School,private,school
Coastal Harbor Treatment,1150 Cornell Ave,Savannah,GA,31406,(912) 692-4250,32.0123,-81.0956,Coastal Harbor Treatment,private,school
Creekside Christian Academy,175 Foster Dr.,Mcdonough,GA,30253,(770) 961-9300,33.4687,-84.2102,Creekside Christian Academy,private,school
Grace Academy,119 Powers Ferry Road,Marietta,GA,30067,(770) 895-8171,33.9492,-84.5089,Grace Academy,private,school
Griffin Christian High School,2000 W McIntosh Rd,Griffin,GA,30223,(770) 467-8198,33.271,-84.3087,Griffin Christian High School,private,school
Heritage Academy,5215 Thigpen Trl,Sale City,GA,31784,(229) 782-5651,31.262,-83.9705,Heritage Academy,private,school
Gods Heritage Christian Academy,2540 Airport Rd,Hinesville,GA,31313,(912) 877-6012,31.7833,-81.6339,Gods Heritage Christian Academy,private,school
James Madison High School,6625 the Corners Pkwy Ste 500,Norcross,GA,30092,(770) 729-8400,33.9604,-84.2371,James Madison High School,private,school
Mount De Sales Academy,851 Orange St,Macon,GA,31201,(478) 751-3240,32.8344,-83.6405,Mount De Sales Academy,private,school
New Testament Christian Academy,PO Box 129,Twin City,GA,30471,(478) 763-3937,32.5721,-82.1678,New Testament Christian Academy,private,school
Omega Learning Center,3045 Gordy Pkwy Ste 102,Marietta,GA,30066,(770) 973-0209,34.0407,-84.4647,Omega Learning Center,private,school
Omega Learning Center,2987 Chapel Hill Rd Ste 101,Douglasville,GA,30135,(770) 949-8258,33.723,-84.7334,Omega Learning Center,private,school
Omega Private Academy-Acworth,5340 Brookstone Dr NW Ste 320,Acworth,GA,30101,(770) 792-7431,33.9987,-84.7079,Omega Private Academy-Acworth,private,school
St Anne-Pacelli Catholic School,2020 Kay Circle,Columbus,GA,31907,(706) 561-8232,32.482,-84.9341,St Anne-Pacelli Catholic School,private,school
Peachtree Academy Private School,14101 Highway 278 E,Covington,GA,30014,(770) 860-8900,33.5954,-83.8164,Peachtree Academy Private School,private,school
Philadelphia Christian School,358 Hensley Rd SE,Calhoun,GA,30701,(770) 625-3233,34.4308,-84.9305,Philadelphia Christian School,private,school
Alzar School,1600 Airport Way,Cascade,ID,83611,(208) 639-9891,44.49,-116.013,Alzar School,private,school
Confluence Christian High School,635 Main Street,Lewiston,ID,83501,(208) 731-6320,46.4211,-117.025,Confluence Christian High School,private,school
Silver Valley Christian Academy,16 E Riverside Ave,Kellogg,ID,83837,(208) 783-3791,47.5387,-116.118,Silver Valley Christian Academy,private,school
American School,2200 E 170th St,Lansing,IL,60438,(708) 418-2800,41.5872,-87.5633,American School,private,school
Banner Academy West,819 N Leamington Ave Ste 1,Chicago,IL,60651,(773) 854-1188,41.8953,-87.7543,Banner Academy West,private,school
Glenoaks Therapeutic Day Schools,135 N Brandon Dr,Glendale Heights,IL,60139,(630) 671-0383,41.9316,-88.0846,Glenoaks Therapeutic Day Schools,private,school
Montessori School of Lake Forest Adolescent Prgm,32470 Harris Rd,Grayslake,IL,60030,(847) 543-0002,42.3341,-88.0145,Montessori School of Lake Forest Adolescent Prgm,private,school
Mooseheart Child City and School Inc,255 W James J Davis Dr,Mooseheart,IL,60539,(630) 906-3646,41.8239,-88.3332,Mooseheart Child City and School Inc,private,school
St Joseph Academy,310 N Ottawa St,Joliet,IL,60432,(815) 723-4567,41.5304,-88.083,St Joseph Academy,private,school
Basic Prep Academy,1402 N Belleview Pl,Indianapolis,IN,46222,(812) 240-5680,39.7862,-86.2034,Basic Prep Academy,private,school
Neighborhood Academy,3102 E 10th St,Indianapolis,IN,46201,(317) 631-0027,39.7815,-86.112,Neighborhood Academy,private,school
T C Harris School at Idtc Laf,3700 Rome Dr,Lafayette,IN,47905,(765) 448-4220,40.4217,-86.8437,T C Harris School at Idtc Laf,private,school
Bishop Heelan Catholic High School,1021 Douglas St,Sioux City,IA,51105,(712) 252-0573,42.5017,-96.4066,Bishop Heelan Catholic High School,private,school
Quakerdale Promise Academy,26866 Co Highway S55,New Providence,IA,50206,(641) 497-5294,42.3123,-93.1697,Quakerdale Promise Academy,private,school
Classical School of Wichita,6355 Willowbrook St,Wichita,KS,67218,(316) 773-9279,37.681,-97.2632,Classical School of Wichita,private,school
Pilgrim Christian School,5013 S. Dean Rd.,Hutchinson,KS,67501,(620) 860-1790,37.9949,-98.0326,Pilgrim Christian School,private,school
Lebanon Junction Christian Academy,270 S Sanders Ln,Lebanon Junction,KY,40150,(502) 833-4607,37.843,-85.7102,Lebanon Junction Christian Academy,private,school
Lincoln County Mennonite School,6805 Ky Highway 39 S,Crab Orchard,KY,40419,(606) 355-0067,37.3709,-84.5014,Lincoln County Mennonite School,private,school
Nelson County Baptist School,55 Lutheran Church Rd,Bardstown,KY,40004,(502) 212-9232,37.8552,-85.5151,Nelson County Baptist School,private,school
Crestview Mennonite School,500 Watkins Road,London,KY,40741,(606) 864-9916,37.1073,-83.9845,Crestview Mennonite School,private,school
Redemption Road Christian Academy,125 Pemberton Lane,Danville,KY,40422,(606) 669-2335,37.4715,-84.6811,Redemption Road Christian Academy,private,school
Covenant Grace Academy,2110 E McNeese St,Lake Charles,LA,70607,(337) 474-2424,30.1749,-93.1905,Covenant Grace Academy,private,school
Coastal Studies for Girls,308 Wolfes Neck Road,Freeport,ME,4032,(207) 865-9700,43.8339,-70.0792,Coastal Studies for Girls,private,school
Glenn Stratton Learning Center,16 Prescott Drive,Hinckley,ME,4944,(207) 238-4200,44.6639,-69.6297,Glenn Stratton Learning Center,private,school
Allegany Boys Camp,20700 Wagner Cutoff Rd SE,Oldtown,MD,21555,(301) 478-5721,39.5821,-78.5795,Allegany Boys Camp,private,school
Arundel Christian School,1321 Mercedes Dr Ste Q Ste Q-s,Hanover,MD,21076,(410) 859-8573,39.1654,-76.7039,Arundel Christian School,private,school
Baltimore Torah School,2416 Taney Road,Baltimore,MD,21209,(410) 585-1801,39.3679,-76.6789,Baltimore Torah School,private,school
Childrens Guild Inc,410 E Jeffrey St,Baltimore,MD,21225,(410) 269-7600,39.2341,-76.6068,Childrens Guild Inc,private,school
Christs Church Academy,401 Jonathan Street,Hagerstown,MD,21740,(240) 329-4309,39.6485,-77.7187,Christs Church Academy,private,school
Gateway Christian Academy,11017 Kempsmills Rd,Willisanssport,MD,21795,(301) 582-4595,39.6183,-77.8129,Gateway Christian Academy,private,school
Griggs International Academy,8903 Us Hwy 31,Berrien Springs,MI,49103,(269) 471-6559,41.9584,-86.3608,Griggs International Academy,private,school
High Road School of Harford County,1250 Brass Mill Rd,Belcamp,MD,21017,(410) 272-1123,39.4778,-76.2362,High Road School of Harford County,private,school
Oak Grove Classical Christian School,2106 E Churchville Rd,Bel Air,MD,21015,(410) 838-1333,39.5555,-76.288,Oak Grove Classical Christian School,private,school
Royal International Christian Academy,10939 Philadelphia Rd A1,White Marsh,MD,21162,(443) 317-8056,39.3874,-76.4272,Royal International Christian Academy,private,school
St Anns High School,4901 Eastern Ave,Hyattsville,MD,20782,(301) 559-5500,38.9468,-76.9781,St Anns High School,private,school
Community Christian School,39 S Broad St,Westfield,MA,1085,(413) 564-0316,42.1118,-72.748,Community Christian School,private,school
Granite Academy,6 Columbian St,Braintree,MA,2184,(781) 380-3945,42.184,-70.9746,Granite Academy,private,school
Berkshire Waldorf High School,14 Pine Street,Stockbridge,MA,1262,(413) 298-3800,42.2846,-73.3101,Berkshire Waldorf High School,private,school
Aim High School,29230 W 12 Mile Rd,Farmingtn Hls,MI,48334,(248) 702-6922,42.5009,-83.3345,Aim High School,private,school
Austin Catholic Academy High School,24125 26 Mile Rd,Ray Township,MI,48096,(586) 749-7900,42.7198,-82.8685,Austin Catholic Academy High School,private,school
Grandville Calvin Christian School,3750 Ivanrest Ave SW,Grandville,MI,49418,(616) 532-2373,42.8962,-85.7435,Grandville Calvin Christian School,private,school
Great Lakes Mennonite School,720 Ann Arbor Trl,Clare,MI,48617,(989) 944-1519,43.8262,-84.787,Great Lakes Mennonite School,private,school
Mesivta of Toledo,4200 Walnut Lake Rd,West Bloomfield,MI,48323,(248) 738-7230,42.5581,-83.3656,Mesivta of Toledo,private,school
St Catherine of Siena Academy,28200 Napier Rd,Wixom,MI,48393,(248) 946-4848,42.4927,-83.5552,St Catherine of Siena Academy,private,school
The New Millennium Academy,3427 Adams Ave,Saginaw,MI,48602,(989) 484-7363,43.4316,-83.9914,The New Millennium Academy,private,school
Delasalle High School,1 De La Salle Dr,Minneapolis,MN,55401,(612) 676-7600,44.9866,-93.2615,Delasalle High School,private,school
Yeshiva of Minneapolis,3115 Ottawa Ave S,St. Louis Park,MN,55416,(952) 920-8673,44.9462,-93.3398,Yeshiva of Minneapolis,private,school
Northstar Academy,3790 Goodman Rd E,Southaven,MS,38672,(662) 892-4380,34.964,-89.9222,Northstar Academy,private,school
The Pentecostal Christian Academy,1811 Old Marion Road,Meridian,MS,39301,(601) 693-7350,32.3761,-88.6854,The Pentecostal Christian Academy,private,school
Fr Tolton Catholic High School,3351 E Gans Rd,Columbia,MO,65201,(573) 445-7700,38.8911,-92.289,Fr Tolton Catholic High School,private,school
Highlands Academy,5506 Cambridge Ave,Kansas City,MO,64129,(816) 924-6565,39.0246,-94.505,Highlands Academy,private,school
Mizzou K 12 Online/Mu High School,136 Clark Hall,Columbia,MO,65211,(573) 884-3974,38.9432,-92.3327,Mizzou K 12 Online/Mu High School,private,school
Acadia Montana,55 Basin Creek Rd,Butte,MT,59701,(406) 496-6347,45.9335,-112.511,Acadia Montana,private,school
Mission Valley Christianacademy,38907 Mt Hwy 35,Polson,MT,59860,(406) 883-6858,47.6874,-114.082,Mission Valley Christianacademy,private,school
World Class Academy,163 N Main Ave,White Salmon,WA,98672,(541) 908-5937,45.7285,-121.487,World Class Academy,private,school
First Baptist School,814 Main St,Plattsmouth,NE,68048,(402) 296-5948,41.0116,-95.8892,First Baptist School,private,school
Ohama Montessori High School,7001 Oak St,Omaha,NE,68106,(402) 614-9074,41.232,-96.0226,Ohama Montessori High School,private,school
Lone Mountain Academy,4295 N Rancho Dr Ste 110,Las Vegas,NV,89130,(702) 633-4240,36.2373,-115.233,Lone Mountain Academy,private,school
Newton Learning Center,700 Greenbrae Dr,Sparks,NV,89431,(775) 358-0808,39.5475,-119.751,Newton Learning Center,private,school
Nfi Midway Shelter,2554 State Route 103,Bradford,NH,3221,(603) 938-5014,43.2673,-71.9291,Nfi Midway Shelter,private,school
Second Start,450 North State St,Concord,NH,3301,(603) 225-3318,43.2421,-71.569,Second Start,private,school
The Cornerstone School,146 High St,Stratham,NH,3885,(603) 772-4349,43.0221,-70.8617,The Cornerstone School,private,school
Universal School of Life,3 Angels Rd,Colebrook,NH,3576,(603) 237-9949,44.9335,-71.4773,Universal School of Life,private,school
Abundant Life Christian School,43 S Jefferson Rd,Whippany,NJ,7981,(973) 888-2083,40.8243,-74.4368,Abundant Life Christian School,private,school
Bet Yaakov of the Jersey Shore,200 Wall Street,West Long Branch,NJ,7764,(732) 229-0680,40.2856,-74.0179,Bet Yaakov of the Jersey Shore,private,school
Elyon Learning Center Academy,16 Stratford Pl,Newark,NJ,7108,(973) 342-4209,40.7235,-74.1907,Elyon Learning Center Academy,private,school
Horizon High School,71-77 Okner Pkwy,Livingston,NJ,7039,(973) 535-1999,40.8015,-74.3547,Horizon High School,private,school
Sawtelle Learning Center,208 S Mountain Ave,Montclair,NJ,7042,(973) 744-0615,40.8062,-74.2328,Sawtelle Learning Center,private,school
The Childrens Therapy Center,321 Prospect St,Midland Park,NJ,7432,(201) 612-5677,41.0025,-74.1382,The Childrens Therapy Center,private,school
Trinity Hall,900 Leonardville Rd,Leonardo,NJ,7737,(732) 291-1297,40.4097,-74.0545,Trinity Hall,private,school
Yeshiva Gedola of Woodlake Village,70 Pinehurst Dr,Lakewood,NJ,8701,(732) 730-2808,40.0842,-74.1706,Yeshiva Gedola of Woodlake Village,private,school
Abundant Life Academy,389 Broadway,Kingston,NY,12401,(845) 338-2703,41.926,-73.9953,Abundant Life Academy,private,school
Christ the King Preparatory Academy,704 91st St,Niagara Falls,NY,14304,(716) 553-6318,43.0813,-78.9581,Christ the King Preparatory Academy,private,school
Congregation Machon Tiferes Bachurim,17 Cameo Ridge Rd,Monsey,NY,10952,(914) 714-8183,41.1192,-74.0732,Congregation Machon Tiferes Bachurim,private,school
Congregation Mesifta Ohr Hatalmud,701 Blooming Grove Tpke Turpk,New Windsor,NY,12553,(845) 784-4020,41.4593,-74.0467,Congregation Mesifta Ohr Hatalmud,private,school
Pascack Valley Learning Center,27 Church Rd,Airmont,NY,10952,(845) 357-0980,41.0983,-74.1121,Pascack Valley Learning Center,private,school
Dominican Academy,44 E 68th St,New York,NY,10065,(212) 744-0195,40.7686,-73.9666,Dominican Academy,private,school
Ezra Hatzvy Academy,2555 Nostrand Ave,Brooklyn,NY,11210,(718) 975-1041,40.6224,-73.946,Ezra Hatzvy Academy,private,school
Gersh Academy- Inc,307 Eagle Ave,West Hempstead,NY,11552,(516) 986-9580,40.6867,-73.654,Gersh Academy- Inc,private,school
Harriet Tubman Democratic High School,59 Elizabeth St,Albany,NY,12202,(518) 330-8385,42.6406,-73.7618,Harriet Tubman Democratic High School,private,school
J G B Education Services,15 W 65th St 3rd Floor,New York,NY,10023,(212) 769-6306,40.7726,-73.9804,J G B Education Services,private,school
John a Coleman School,300 Corporate Blvd S,Yonkers,NY,10701,(914) 294-6173,40.969,-73.8787,John a Coleman School,private,school
Longview School,83 Main St,Brewster,NY,10509,(845) 259-8259,41.3943,-73.6166,Longview School,private,school
Rochester School for the Deaf,1545 Saint Paul St,Rochester,NY,14621,(585) 336-5800,43.1851,-77.6244,Rochester School for the Deaf,private,school
Christian Heritage School,2191 State Route 5,Utica,NY,13502,(315) 790-5602,43.1019,-75.1551,Christian Heritage School,private,school
Schechter School of Long Island,1 Barbara Lane,Jericho,NY,11753,(516) 935-1441,40.7835,-73.5229,Schechter School of Long Island,private,school
Yeshivat Darche Eres Inc,49 Avenue T,Brooklyn,NY,11223,(718) 232-0100,40.5984,-73.9832,Yeshivat Darche Eres Inc,private,school
Bethany Christian School,584 Tower Rd,Thomasville,NC,27360,(336) 472-3389,35.8577,-80.0598,Bethany Christian School,private,school
Christ the King Catholic High School,2011 Crusader Way,Huntersville,NC,28078,(704) 799-4400,35.4444,-80.7604,Christ the King Catholic High School,private,school
Bethel Christian Academy,12021 S Us 19e,Spruce Pine,NC,28777,(828) 765-0510,35.9361,-82.0093,Bethel Christian Academy,private,school
Crossroads Christian School of Statesville,1950 Salisbury Hwy,Statesville,NC,28677,(704) 871-1515,35.7622,-80.8398,Crossroads Christian School of Statesville,private,school
Daniel Academy,484 Cabarrus Ave W,Concord,NC,28027,(704) 931-8325,35.3997,-80.5959,Daniel Academy,private,school
Faith Christian Academy,127 Boyd Dr,Flat Rock,NC,28731,(828) 435-0670,35.2783,-82.4509,Faith Christian Academy,private,school
Just Right Academy,4723 Erwin Rd.,Durham,NC,27705,(919) 932-0360,35.9897,-78.9868,Just Right Academy,private,school
Lake House Academy,447 Lilly Pad Ln,Flat Rock,NC,28731,(828) 355-4595,35.2844,-82.4383,Lake House Academy,private,school
Liberty Preparatory Christian Academy,246 Blume Rd,Mooresville,NC,28117,(704) 660-3933,35.5773,-80.9069,Liberty Preparatory Christian Academy,private,school
Mind and Soul School,56 Three Hunts Dr,Pembroke,NC,28372,(910) 827-1169,34.6461,-79.1686,Mind and Soul School,private,school
Mount Zion Christian Academy,9709 Nc Highway 72,Pembroke,NC,28372,(910) 521-0358,34.7228,-79.1618,Mount Zion Christian Academy,private,school
New Bern Christian Academy,2911 Old Cherry Point Rd,New Bern,NC,28560,(252) 637-2704,35.0597,-77.0134,New Bern Christian Academy,private,school
One7 Academy,2223 Eastway Drive,Charlotte,NC,28205,(704) 493-7043,35.226,-80.7752,One7 Academy,private,school
Pamlico Christian Academy,11089 Highway 55 E,Grantsboro,NC,28529,(252) 745-0462,35.1427,-76.8383,Pamlico Christian Academy,private,school
Pope John Paul II Catholic High School,2725 E 14th St,Greenville,NC,27858,(252) 215-1224,35.5796,-77.3425,Pope John Paul II Catholic High School,private,school
Unity Christian Academy,1501 Haw Branch Rd,Chocowinity,NC,27817,(252) 946-5083,35.4306,-77.0837,Unity Christian Academy,private,school
University Christian High School,629 8th Street NE,Hickory,NC,28601,(828) 855-2995,35.7373,-81.3263,University Christian High School,private,school
Victory Baptist Christian Academy,2073 Oregon Hill Rd,Ruffin,NC,27326,(336) 939-3566,36.453,-79.639,Victory Baptist Christian Academy,private,school
Willow Tree Community School,1050 Sam Lattimore Rd,Shelby,NC,28152,(980) 295-2661,35.2562,-81.5935,Willow Tree Community School,private,school
