field_organization_name,field_address_1,field_city,field_state,Zip,field_phone,field_latitude,field_longitude,title,field_school_type,field_type
Winton Place Baptist Academy,4600 N Edgewood Ave,Cincinnati,OH,45232,(513) 681-9480,39.1723,-84.516,Winton Place Baptist Academy,private,school
Immanuel Christian Academy,400 N Aspen Ave,Broken Arrow,OK,74012,(918) 251-5422,36.0561,-95.8176,Immanuel Christian Academy,private,school
Mercy School Institute,14001 N Harvey Ave,Edmond,OK,73013,(405) 748-5500,35.6126,-97.519,Mercy School Institute,private,school
Cs Lewis Academy,1605 N College St,Newberg,OR,97132,(503) 538-0114,45.3121,-122.974,Cs Lewis Academy,private,school
Cascades Academy,19860 Tumalo Reservoir Rd,Bend,OR,97703,(541) 382-0699,44.1334,-121.331,Cascades Academy,private,school
Looking Glass Center Point School,1790 W 11th Ave Ste a,Eugene,OR,97402,(541) 868-0661,44.0476,-123.12,Looking Glass Center Point School,private,school
Looking Glass Stepping Stone Program School,2517 Martin Luther King Jr Blvd,Eugene,OR,97401,(541) 342-4293,44.0603,-123.071,Looking Glass Stepping Stone Program School,private,school
Oregon Outreach,3802 NE M L King Blvd,Portland,OR,97212,(503) 281-9597,45.5503,-122.661,Oregon Outreach,private,school
Serp Alternative School,21512 SE Stark St,Gresham,OR,97033,(503) 491-9312,45.5187,-122.442,Serp Alternative School,private,school
Garbers Mennonite School,6082 Old Hanover Rd,Spring Grove,PA,17362,(717) 225-7277,39.8573,-76.8961,Garbers Mennonite School,private,school
Grace Bible Academy,128 Bradenville School Rd,Bradenville,PA,15620,(724) 537-2840,40.3173,-79.3387,Grace Bible Academy,private,school
Green Lane School,146 Lupine Ln,Belleville,PA,17004,,40.6491,-77.6738,Green Lane School,private,school
Hahnstown Mennonite School,255 Hahnstown Rd,Ephrata,PA,17522,(717) 733-2694,40.1748,-76.1158,Hahnstown Mennonite School,private,school
Heritage Baptist Academy,1015 Lowry Ave,Jeannette,PA,15644,(724) 523-8820,40.3162,-79.6187,Heritage Baptist Academy,private,school
Holy Family Institute-East,100 Mulberry Ln,Penn Hills,PA,15235,(412) 723-6160,40.4562,-79.8452,Holy Family Institute-East,private,school
Talk Institute & School,395 Bishop Hollow Rd H,Newtown Square,PA,19073,(610) 356-5566,39.9746,-75.415,Talk Institute & School,private,school
Oak Lane Mennonite School,2004 N Penryn Rd,Manheim,PA,17545,(717) 664-4725,40.218,-76.3555,Oak Lane Mennonite School,private,school
Pequea Mennonite School,5025 Diem Rd,New Holland,PA,17557,(717) 354-7841,40.0558,-76.0473,Pequea Mennonite School,private,school
Pressley Ridge Day School - Pittsburgh,530 Marshall Ave,Pittsburgh,PA,15214,(412) 321-6995,40.4713,-80.0184,Pressley Ridge Day School - Pittsburgh,private,school
White Springs School,1655 Beaver Rd,Mifflinburg,PA,17844,(570) 966-0246,40.8921,-77.0718,White Springs School,private,school
Capers Preparatory Christian Academy,1945 Bees Ferry Rd,Charleston,SC,29414,(843) 225-2892,32.8295,-80.0737,Capers Preparatory Christian Academy,private,school
Depicam Christian Schools,633 State Street Extension,Bennettsville,SC,29512,(843) 479-7984,34.5953,-79.6935,Depicam Christian Schools,private,school
Hawthorne Christian Academy,790 Hawthorne Rd,Chester,SC,29706,(803) 377-8235,34.699,-81.2434,Hawthorne Christian Academy,private,school
Heritage Academy,11 New Orleans Rd,Hilton Head Island,SC,29928,(843) 842-8600,32.1579,-80.7533,Heritage Academy,private,school
Lakeview Christian School,107 Mauldin Lake Rd,Pickens,SC,29671,(864) 828-6959,34.887,-82.7151,Lakeview Christian School,private,school
Lighthouse Christian Academy,23994 Highway 221 N,Enoree,SC,29335,(864) 682-3422,34.5905,-81.9939,Lighthouse Christian Academy,private,school
North Walterboro Christian Academy,2177 Jefferies Hwy,Walterboro,SC,29488,(843) 539-1618,32.932,-80.6615,North Walterboro Christian Academy,private,school
Oakbrook Preparatory School,190 Lincoln School Rd,Spartanburg,SC,29301,(864) 587-2060,34.9453,-82.0157,Oakbrook Preparatory School,private,school
Soaring Eagles Christian Academy,501 Old Liberty Rd,Easley,SC,29640,(864) 855-6781,34.8242,-82.6199,Soaring Eagles Christian Academy,private,school
Victory Christian Academy,717 Miller Rd,Jefferson,SC,29718,(843) 658-7291,34.6757,-80.384,Victory Christian Academy,private,school
Agathos Classical School,1201 Mapleash Ave,Columbia,TN,38401,(931) 388-0556,35.605,-87.013,Agathos Classical School,private,school
Calvary Christian Academy,2139 Jacksboro Pike,Lafollette,TN,37766,(423) 562-7267,36.3488,-84.1581,Calvary Christian Academy,private,school
Concord Christian School,11704 Kingston Pike,Knoxville,TN,37934,(865) 966-8858,35.8748,-84.1714,Concord Christian School,private,school
Crockett Christian School,175 Chestnut Bluff-MC Rd,Maury City,TN,38050,(731) 656-4500,35.8216,-89.2215,Crockett Christian School,private,school
Crossroads Christian Academy,1963 Martel Rd,Lenoir City,TN,37772,(865) 986-9823,35.8014,-84.2505,Crossroads Christian Academy,private,school
Faith Missionary Academy,495 Red Barn Rd,Gruetli Laager,TN,37339,(931) 779-3338,35.3685,-85.6096,Faith Missionary Academy,private,school
Macon Road Baptist School,10015 Hwt 64,Arlington,TN,38002,(901) 290-5555,35.205,-89.6936,Macon Road Baptist School,private,school
Magnolia Academy,120 Freeman Dr.,Columbia,TN,37901,(931) 381-9194,35.4538,-86.8225,Magnolia Academy,private,school
Open Door Outreach Christian Academy,518 Punkton Rd,Del Rio,TN,37727,(423) 487-3355,35.8976,-83.0253,Open Door Outreach Christian Academy,private,school
Paideia Academy,10825 Yarnell Rd,Knoxville,TN,37932,(865) 670-0440,35.9327,-84.1553,Paideia Academy,private,school
Pope John Paul II High School,117 Caldwell Dr,Hendersonville,TN,37075,(615) 822-2375,36.3164,-86.6681,Pope John Paul II High School,private,school
Rhea County Academy,245 California Avenue,Dayton,TN,37321,(423) 775-2826,35.4904,-85.0212,Rhea County Academy,private,school
St George'S Independent School,1880 Wolf River Blvd,Collierville,TN,38017,(901) 457-2000,35.1027,-89.728,St George'S Independent School,private,school
Steppen Stone Academy,110 Steppen Stone Blvd.,Limestone,TN,37681,(423) 257-6054,36.2373,-82.6186,Steppen Stone Academy,private,school
Legacy Christian Academy,8200 Highway 105,Beaumont,TX,77713,(409) 924-0500,30.1335,-94.2026,Legacy Christian Academy,private,school
Esprit International School,4890 W Panther Creek Dr,The Woodlands,TX,77381,(281) 298-9200,30.1672,-95.5003,Esprit International School,private,school
Geneva School of Boerne,113 Cascade Caverns Rd,Boerne,TX,78015,(830) 755-6101,29.7515,-98.6911,Geneva School of Boerne,private,school
Green Oaks School,500 Houston St,Arlington,TX,76011,(817) 861-5000,32.7407,-97.1123,Green Oaks School,private,school
John Paul II High School,900 Coit Rd,Plano,TX,75075,(972) 867-0005,33.0126,-96.7641,John Paul II High School,private,school
Life Center Christian Academy,1335 Henry Brennan Dr,El Paso,TX,79936,(915) 545-5555,31.7248,-106.293,Life Center Christian Academy,private,school
Odyssey School,4407 Red River St,Austin,TX,78751,(512) 472-2262,30.304,-97.7198,Odyssey School,private,school
Our Lady of the Hills Regional Catholic High Schoo,235 Peterson Farm Rd,Kerrville,TX,78028,(830) 895-0501,29.9896,-99.0951,Our Lady of the Hills Regional Catholic High Schoo,private,school
St John XXIII College Prreparatory,1800 W Grand Pkwy N,Katy,TX,77449,(281) 693-1000,29.7981,-95.7754,St John XXIII College Prreparatory,private,school
Pueblos Royal Christian School,1600 Pasadena Blvd,Pasadena,TX,77502,(713) 920-1308,29.6882,-95.2004,Pueblos Royal Christian School,private,school
Sanctuary Academy of the Regional Bible Institute,506-510 East Van Week St.,Edinburg,TX,78541,(956) 867-8721,26.3064,-98.1563,Sanctuary Academy of the Regional Bible Institute,private,school
San Angelo Christian Academy,518 Country Club Rd,San Angelo,TX,76904,(325) 651-8363,31.3933,-100.435,San Angelo Christian Academy,private,school
Shady Acres Christian School,7330 Vogel Rd,Houston,TX,77088,(281) 999-2040,29.868,-95.4642,Shady Acres Christian School,private,school
St Gerard Catholic High School,521 S New Braunfels Ave,San Antonio,TX,78203,(210) 533-8061,29.4141,-98.4624,St Gerard Catholic High School,private,school
The Gospel Lighthouse Christian Academy,2220 S Colorado St,Lockhart,TX,78644,(512) 376-0005,29.8485,-97.6676,The Gospel Lighthouse Christian Academy,private,school
Trinity Christian Academy,2190 Fm 79,Paris,TX,75460,(903) 785-9557,33.6834,-95.5788,Trinity Christian Academy,private,school
Provo Canyon School - Springville Campus,763 N 1650 W,Springville,UT,84663,(801) 491-3910,40.1775,-111.639,Provo Canyon School - Springville Campus,private,school
Westside Christian School,2299 W 2000 N,St. George,UT,84770,(435) 656-9055,37.1423,-113.633,Westside Christian School,private,school
East Burke School,611 Vt Rte 114,East Burke,VT,5832,(802) 626-8317,44.5895,-71.9425,East Burke School,private,school
The New School of Montpelier,11 West St,Montpelier,VT,5602,(802) 223-0647,44.2566,-72.5678,The New School of Montpelier,private,school
"Learn, Inc.",216 Broad St.,Lyndonville,VT,5851,(802) 626-8056,44.5227,-72.0009,"Learn, Inc.",private,school
Soar Learning Center,178 McGinn Dr,St. Albans Bay,VT,5481,(802) 527-7514,44.8118,-73.1391,Soar Learning Center,private,school
Accotink Academy Learning Center,8519 Tuttle Rd Bldg B,Springfield,VA,22152,(703) 644-9072,38.7837,-77.2392,Accotink Academy Learning Center,private,school
Veritas Christian Academy,1208 Centerville Turnpike N,Chesapeake,VA,23320,(757) 410-5095,36.7602,-76.1872,Veritas Christian Academy,private,school
Carlbrook School,3046 Carlbrook Rd,South Boston,VA,24592,(434) 476-2406,36.7284,-79.1382,Carlbrook School,private,school
Guardian Christian Academy,6851 Courthouse Rd,Chesterfield,VA,23832,(804) 715-3210,37.4061,-77.561,Guardian Christian Academy,private,school
Lafayette School,103 Zion Station Rd,Troy,VA,22974,(434) 589-2370,37.9772,-78.2348,Lafayette School,private,school
Love Covenant Christian School,17897 W Pridesville Rd,Amelia Court House,VA,23002,(804) 339-1348,37.3767,-78.0115,Love Covenant Christian School,private,school
Metropolitan Day School,2824 North Ave,Richmond,VA,23222,(804) 321-2595,37.5688,-77.4331,Metropolitan Day School,private,school
Peninsula Catholic High School,600 Harpersville Rd,Newport News,VA,23601,(757) 596-7247,37.0706,-76.4577,Peninsula Catholic High School,private,school
Rockbridge Christian Academy,21 Snowy Egret Lane,Lexington,VA,24450,(540) 463-5456,37.8394,-79.3796,Rockbridge Christian Academy,private,school
Southside Baptist Christian School,5515 Bryce Ln,Richmond,VA,23224,(804) 745-8699,37.4854,-77.4922,Southside Baptist Christian School,private,school
Temple Baptist School,1545 Dranesville Rd,Herndon,VA,20170,(703) 437-7400,38.9869,-77.3768,Temple Baptist School,private,school
Trinity Christian School,14 Gammons Road,Stuart,VA,24171,(276) 694-4047,36.574,-80.3984,Trinity Christian School,private,school
Veritas School,3400 Brook Rd,Richmond,VA,23227,(804) 272-9517,37.5787,-77.4515,Veritas School,private,school
Yeshiva Aish Kodosh Talmudical Academy,612 Colonial Ave,Norfolk,VA,23507,(757) 623-6070,36.8592,-76.296,Yeshiva Aish Kodosh Talmudical Academy,private,school
Harbor Christian Schools,6509 38th Avenue NW,Gig Harbor,WA,98335,(253) 857-6242,47.3175,-122.588,Harbor Christian Schools,private,school
Faith Baptist Academy,2804 E Euclid Ave,Spokane,WA,99207,(509) 482-6194,47.6858,-117.369,Faith Baptist Academy,private,school
Gospel Outreach Christian School,1925 South Bay Rd NE,Olympia,WA,98506,(360) 786-0070,47.0624,-122.863,Gospel Outreach Christian School,private,school
Lynden Christian School,417 Lyncs Dr,Lynden,WA,98264,(360) 318-9525,48.9493,-122.445,Lynden Christian School,private,school
Mount Rainier Lutheran High School,12108 Pacific Ave S,Tacoma,WA,98444,(253) 284-4433,47.1472,-122.435,Mount Rainier Lutheran High School,private,school
Northwest Christian Schools,5104 E Bernhill Rd,Colbert,WA,99005,(509) 238-4005,47.8265,-117.332,Northwest Christian Schools,private,school
Lewisburg Baptist Academy,246 Grand Ave,Lewisburg,WV,24901,(304) 645-5747,37.8152,-80.4334,Lewisburg Baptist Academy,private,school
Carters Christian Academy,5268 N 35th St,Milwaukee,WI,53209,(414) 466-3284,43.1133,-87.9559,Carters Christian Academy,private,school
St Ambrose Academy,602 Everglade Dr,Madison,WI,53717,(608) 827-5863,43.0745,-89.4996,St Ambrose Academy,private,school
St Mary'S Academy,4545 S University Blvd,Englewood,CO,80113,(303) 762-8300,39.6335,-104.961,St Mary'S Academy,private,school
Garden of the Sahaba Academy,3100 NW 5th Ave,Boca Raton,FL,33431,(561) 395-3011,26.3798,-80.0935,Garden of the Sahaba Academy,private,school
Martin De Porres High School,140 Beach 112th St,Rockaway Park,NY,11694,(718) 852-0191,40.58,-73.8328,Martin De Porres High School,private,school
Keystone Smiles Alternative Learning Center,420 Main St,Knox,PA,16232,(814) 797-2127,41.2359,-79.5369,Keystone Smiles Alternative Learning Center,private,school
Spring Valley School,605 Hagood Street,Birmingham,AL,35213,(205) 423-8660,33.5157,-86.7365,Spring Valley School,private,school
Star Prep Academy,1518 South Robertson Blvd.,Los Angeles,CA,90035,(310) 842-8808,34.0516,-118.384,Star Prep Academy,private,school
American High School Academy,10300 SW 72nd St Ste 427,Miami,FL,33173,(305) 270-1440,25.7004,-80.3609,American High School Academy,private,school
Dixie County Learning Academy,1357 NE 82nd Ave,Old Town,FL,32680,(352) 542-3306,29.6047,-82.9939,Dixie County Learning Academy,private,school
Life Christian Academy,2269 Partin Settlement Rd,Kissimmee,FL,34744,(407) 847-8222,28.2796,-81.3524,Life Christian Academy,private,school
Whitefield Academy,8929 Holmes Rd,Kansas City,MO,64131,(816) 444-3567,38.9659,-94.5815,Whitefield Academy,private,school
Kingsway Learning Center-Secondary Program,244 W Route 38,Moorestown,NJ,8057,(856) 234-4442,39.9507,-74.9522,Kingsway Learning Center-Secondary Program,private,school
Nesivos Bais Yaakov,1021 45th St,Brooklyn,NY,11219,(718) 972-5858,40.641,-73.9956,Nesivos Bais Yaakov,private,school
Greenville Classical Academy,2519 Woodruff Rd,Simpsonville,SC,29681,(864) 329-9884,34.8101,-82.2371,Greenville Classical Academy,private,school
Ambleside School of San Angelo,511 W Harris Ave,San Angelo,TX,76903,(325) 659-1654,31.4604,-100.447,Ambleside School of San Angelo,private,school
Oak Hill Christian School,13525 Dulles Technology Dr,Heardon,VA,20171,(703) 796-6887,38.9534,-77.4119,Oak Hill Christian School,private,school
New Beginning Christian Academy,132 Patience Ln,Hot Springs,AR,71901,(501) 276-0319,34.5576,-92.9838,New Beginning Christian Academy,private,school
Mcp Middle & High School,125 Bethany Dr,Scotts Valley,CA,95066,(831) 458-9800,37.0676,-121.998,Mcp Middle & High School,private,school
The Oxbow School,530 Third St,Napa,CA,94559,(707) 255-6000,38.2994,-122.278,The Oxbow School,private,school
Lyndon Academy,485 Toonigh Rd,Woodstock,GA,30188,(770) 926-0166,34.1443,-84.5033,Lyndon Academy,private,school
Riverstone Montessori Academy,455 Casteel Rd SW,Marietta,GA,30064,(770) 422-9194,33.9424,-84.6626,Riverstone Montessori Academy,private,school
The Community School,308 Clairemont Ave,Decatur,GA,30030,(404) 308-8548,33.7789,-84.298,The Community School,private,school
Island Pacific Academy,909 Haumea St,Kapolei,HI,96707,(808) 674-3523,21.333,-158.08,Island Pacific Academy,private,school
Notre Dame De La Salette Boys Academy,5065 Olivet Rd,Georgetown,IL,61846,(217) 662-2127,39.9405,-87.6437,Notre Dame De La Salette Boys Academy,private,school
The Contoocook School,40 Park Ln,Contoocook,NH,3229,(603) 746-7702,43.2272,-71.7178,The Contoocook School,private,school
Celebrate the Children,230 Diamond Spring Rd,Denville,NJ,7834,(973) 989-4033,40.9006,-74.4661,Celebrate the Children,private,school
Cherokee Creek Boys School,198 Cooper Rd,Westminster,SC,29693,(864) 647-1885,34.6599,-83.2947,Cherokee Creek Boys School,private,school
Newfound Academy,2155 Marsh Lane Suite 100,Carrollton,TX,75006,(214) 390-1749,32.9694,-96.8547,Newfound Academy,private,school
Jefferson Community School,280 Quincy St,Port Townsend,WA,98368,(360) 385-0622,48.1159,-122.755,Jefferson Community School,private,school
Marshall Christian Academy,1631 Brashers Chapel Rd,Albertville,AL,35951,(256) 279-0192,34.3103,-86.2373,Marshall Christian Academy,private,school
Mt Olive Academy,831 Honeysuckle Dr,Fultondale,AL,35068,(205) 631-8882,33.6293,-86.7967,Mt Olive Academy,private,school
Oakwood Adventist Academy,7000 Adventist Blvd NW,Huntsville,AL,35896,(256) 726-7899,34.7548,-86.6589,Oakwood Adventist Academy,private,school
Westbrook Christian School,100 Westminster Dr,Rainbow City,AL,35906,(256) 442-7457,33.9656,-86.0634,Westbrook Christian School,private,school
Bristol Bay Christian Learning Center,Mile 0.5 Lynx Loop,Naknek,AK,99633,(907) 246-7323,58.7292,-156.873,Bristol Bay Christian Learning Center,private,school
Life Development Institute,18001 N 79th Ave E71,Glendale,AZ,85308,(623) 773-2774,33.6463,-112.229,Life Development Institute,private,school
Southwest Indian Schools/Living Word Academy,14202 N 73rd Ave,Peoria,AZ,85381,(623) 910-8697,33.6137,-112.216,Southwest Indian Schools/Living Word Academy,private,school
St Augustine Catholic High School,8800 E 22nd St,Tucson,AZ,85710,(520) 751-8300,32.2042,-110.805,St Augustine Catholic High School,private,school
Clearview Christian Academy,10 Gospel Rd,Heber Springs,AR,72543,(501) 362-5674,35.3978,-92.0498,Clearview Christian Academy,private,school
St Joseph Catholic School,502 Front St,Conway,AR,72032,(501) 329-5741,35.0859,-92.4377,St Joseph Catholic School,private,school
Union Christian Academy Elementary Campus,4201 Windsor Dr,Fort Smith,AR,72904,(479) 783-7327,35.4008,-94.3844,Union Christian Academy Elementary Campus,private,school
Almondale Academy,8616 Greenback Ln,Orangevale,CA,95662,(916) 988-8611,38.6779,-121.239,Almondale Academy,private,school
Calvary Chapel High/Maranatha Christian Academy,3800 S Fairview St,Santa Ana,CA,92704,(714) 662-7485,33.6969,-117.909,Calvary Chapel High/Maranatha Christian Academy,private,school
Calvary Christian,3425 Concord Blvd,Concord,CA,94519,(925) 689-9006,37.9781,-122.015,Calvary Christian,private,school
Casa Pacifica Nonpublic School,1722 S Lewis Rd,Camarillo,CA,93012,(805) 366-4072,34.1878,-119.033,Casa Pacifica Nonpublic School,private,school
Charis Youth Center,714 2 Main St.,Grass Valley,CA,95945,(530) 477-9800,39.2207,-121.068,Charis Youth Center,private,school
Cristo Rey High School,8475 Jackson Road,Sacramento,CA,95826,(916) 733-2660,38.5455,-121.392,Cristo Rey High School,private,school
Faith Christian Academy,450 W Elm Ave,Coalinga,CA,93210,(559) 935-9209,36.1348,-120.366,Faith Christian Academy,private,school
Fred Finch-Oakland Hills Academy,3800 Coolidge Ave,Oakland,CA,94602,(510) 482-2244,37.8009,-122.206,Fred Finch-Oakland Hills Academy,private,school
Gospel Outreach School,2845 Saint James Pl,Eureka,CA,95503,(707) 445-2214,40.7816,-124.133,Gospel Outreach School,private,school
Greenacre Homes,7590,Atkinson Rd,CA,95472,(707) 829-1366,38.4257,-122.842,Greenacre Homes,private,school
Hope Learning Academy,31542 Railroad Canyon Rd # 1,Canyon Lake,CA,92587,(951) 244-5038,33.6716,-117.251,Hope Learning Academy,private,school
Independent Educational Programs,1756 South St,Anderson,CA,96007,(530) 365-2393,40.446,-122.301,Independent Educational Programs,private,school
Indio Christian Center Academy,84155 Corregidor Ave,Indio,CA,92201,(760) 592-1782,33.7021,-116.196,Indio Christian Center Academy,private,school
Junior Blind of America,5300 Angeles Vista Blvd,Los Angeles,CA,90043,(323) 295-6393,33.9939,-118.343,Junior Blind of America,private,school
Lutheran High School,9270 Bruceville Rd,Elk Grove,CA,95758,(916) 691-2277,38.4208,-121.419,Lutheran High School,private,school
Irine M Hunt School of Marin,300 Sunnyhills Dr,San Anselmo,CA,94960,(415) 457-3135,37.9829,-122.562,Irine M Hunt School of Marin,private,school
Pacifica Christian High School,1730 Wilshire Blvd,Santa Monica,CA,90403,(310) 828-7015,34.0294,-118.485,Pacifica Christian High School,private,school
Pine Hill School/ Second Start Disabilities,1325 Bouret Dr,San Jose,CA,95118,(408) 979-8210,37.2565,-121.887,Pine Hill School/ Second Start Disabilities,private,school
Pinewood Private of Los Altos,327 Fremont Ave,Los Altos,CA,94024,(650) 209-3035,37.3677,-122.106,Pinewood Private of Los Altos,private,school
Real School,110 Magnolia Avenue,Larkspur,CA,94939,(415) 758-7211,37.9298,-122.534,Real School,private,school
San Luis Obispo Classical Academy,165 Grand Ave,San Luis Obispo,CA,93405,(805) 548-8700,35.2951,-120.654,San Luis Obispo Classical Academy,private,school
Seneca Centers Pathfinder Academy,40950 Chapel Way,Fremont,CA,94538,(510) 226-6180,37.5324,-121.963,Seneca Centers Pathfinder Academy,private,school
Spring Academy,2085 Domaine Ct,Morgan Hill,CA,95037,(408) 612-8634,37.1379,-121.616,Spring Academy,private,school
Arrupe Jesuit High School,4343 Utica St,Denver,CO,80212,(303) 815-0475,39.7755,-105.046,Arrupe Jesuit High School,private,school
Colorado Springs Christian Schools,4855 Mallow Rd,Colorado Springs,CO,80907,(719) 599-3553,38.8972,-104.812,Colorado Springs Christian Schools,private,school
Holy Trinity Academy,600 Prospect St # 208,Trinidad,CO,81082,(719) 846-4522,37.1726,-104.513,Holy Trinity Academy,private,school
Shelterwood School,3205 N Twyman Rd,Independence,MO,64058,(816) 249-5380,39.1592,-94.2944,Shelterwood School,private,school
Watershed School,1661 Alpine Ave,Boulder,CO,80304,(303) 440-7520,40.0261,-105.276,Watershed School,private,school
Truth Christian Academy,9700 Old Coal Mine Ave.,Littleton,CO,80123,(303) 670-3360,39.5941,-105.107,Truth Christian Academy,private,school
Winter Park Christian School,274 Ponderosa Trl,Tabernash,CO,80478,(970) 887-9784,39.9934,-105.865,Winter Park Christian School,private,school
Indian Mountain School,211 Indian Mountain School,Lakeville,CT,6039,(860) 435-0871,41.9363,-73.4669,Indian Mountain School,private,school
Delmarva Christian High School,21777 Sussex Pines Rd,Georgetown,DE,19947,(302) 856-4040,38.6699,-75.3718,Delmarva Christian High School,private,school
Glasgow Christian Academy,2880 Summit Bridge Rd,Bear,DE,19701,(302) 392-1090,39.5847,-75.7434,Glasgow Christian Academy,private,school
High Road School of Delaware,2002 Rodman Rd,Wilmington,DE,19805,(302) 575-1266,39.7415,-75.5846,High Road School of Delaware,private,school
Kenton Mennonite School,2422 Chance Rd,Clayton,DE,19938,(302) 653-4185,39.2326,-75.6811,Kenton Mennonite School,private,school
